customer_id,call_count,conversation_ids
3ed90aa6f8924a93a6b3562af71737c29e049445778a113aaa9c000c46083d95,4,1455167886-1969820145-2192490997-1773867395 4077744804-1969754609-2705167416-0825805307 0260007571-1969820145-2745865272-0825805307 2977514866-1969754609-3019147584-3594676577
4791fa36cc880604ae77e1daf59f81d770a62ebe2a760099dfbfe849a73df39b,4,4238769408-1971065329-2705623360-3594676577 2819149332-1971065329-2322764856-0825805307 0672406299-1970999793-2700181994-2917985560 2384495284-1971458545-2860943680-3594676577
3675cff65b854d9325c681a7d6d46c048aa85e2593952da088e0fce5e09ca821,3,3027784413-1968771569-2877199416-0825805307 0331527206-1968837105-2765326656-3594676577 1510437327-1968837105-3067974712-0825805307
175bac9ec88e910ff06af9eabf67c965fe9ee67235cc99a861bf6710f162d291,3,0683127056-1971982833-2936181816-0825805307 0020837135-1971982833-2389623285-1773867395 3406506856-1971982833-2927329770-2917985560
2fed980442fe838bb2a35641ea2444d801ebf1827e1eaa7e3d0766437d34ec2e,3,1789042679-1971393009-2376173888-3594676577 1192797777-1971524081-2400027114-2917985560 3009495542-1971458545-2633744885-1773867395
f6396926e681613891108b5a60ccdeff93168c77c18372e0586428a82fb8e4af,3,0898930666-1969885681-3161560120-0825805307 0239663149-1969951217-2390725688-0825805307 1585623288-1969951217-2499187768-0825805307
35081823c5c5bdb07a9cdba5be56ae26e756a3655d9349ee5cdd5c47b90b171a,3,1318118533-1970082289-3176895544-0825805307 2432877064-1971261937-2169274858-2917985560 2768138521-1970082289-2160624106-2917985560
85370e0940d757ffc2dd22425b950804cd8d792efe473eb46e74b5f1cd5627f1,3,2892791751-1969426929-2986972216-0825805307 0509316786-1969558001-2440860728-0825805307 0524151697-1969426929-2979512821-1773867395
8e0d7bef94a1038a1d0857de5658ce32016fcb0c60789e7161e295aa0337ee70,3,0900011813-1971130865-2525664312-0825805307 0798088842-1971065329-2150405176-0825805307 2618780961-1971589617-3076428856-0825805307
ec4e0546debd9da9b2fa849e07b85d8e72df2aa69593c56153846f9437822f59,3,1231997755-1968116209-2916860405-1773867395 2422992321-1967985137-2488058357-1773867395 1485552155-1967985137-2805503032-0825805307
9f8e48324305432bee1233c8623aceb6c29f62aaeeea49e7c8bf6b474e4bc65c,3,2686731502-1971851761-3216804160-3594676577 0039012725-1968247281-3123939648-3594676577 3521520126-1968181745-2250424821-1773867395
ff42bb13963a672b9056c6cc1a02108e426b687b80e9508dd8fc90f6a1974f27,3,2244257985-1969099249-2222557504-3594676577 1277197744-1969099249-2198110698-2917985560 0081088135-1969099249-3183706602-2917985560
de78e794add6cea89cc144f88d8bb30b96850bd90784d3b59e7cf6d7654127ba,3,0234058837-1970082289-2664401216-3594676577 1969708136-1968378353-2155451448-0825805307 3406475699-1970016753-2452013557-1773867395
4c1e8804ebf510556a39f81ee01be5e03818451ab861120bbc09b558d8496a72,3,0044688302-1971524081-2757476853-1773867395 2899885537-1971458545-2914748736-3594676577 0243674050-1971917297-2330691904-3594676577
